item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM-000033,ORD-00282,PROD-0032,5,52.0,0.0
ITEM-000034,ORD-00408,PROD-0015,2,55.0,0.0
ITEM-000035,ORD-00539,PROD-0028,5,45.0,0.0
ITEM-000036,ORD-00515,PROD-0023,2,40.0,5.0
ITEM-000037,ORD-00124,PROD-0030,1,32.0,0.0
ITEM-000038,ORD-00216,PROD-0025,3,250.0,0.0
ITEM-000039,ORD-00266,PROD-0012,2,19.98,0.0
ITEM-000040,ORD-00483,PROD-0022,4,12.0,5.0
ITEM-000041,ORD-00216,PROD-0027,3,75.0,0.0
ITEM-000042,ORD-00411,PROD-0018,5,12.5,0.0
ITEM-000043,ORD-00590,PROD-0015,3,55.0,20.0
ITEM-000044,ORD-00242,PROD-0028,2,45.0,0.0
ITEM-000045,ORD-00154,PROD-0031,2,28.0,5.0
ITEM-000046,ORD-00512,PROD-0009,5,199.98,10.0
ITEM-000047,ORD-00324,PROD-0032,5,52.0,20.0
ITEM-000048,ORD-00582,PROD-0004,2,119.98,0.0
ITEM-000049,ORD-00221,PROD-0017,1,120.0,5.0
ITEM-000050,ORD-00343,PROD-0017,5,120.0,10.0
ITEM-000051,ORD-00264,PROD-0023,-1,40.0,0.0
ITEM-000052,ORD-00204,PROD-0012,3,19.98,0.0
ITEM-000053,ORD-00333,PROD-0033,4,22.0,0.0
ITEM-000054,ORD-00391,PROD-0019,2,40.0,20.0
ITEM-000055,ORD-00172,PROD-0022,5,12.0,10.0
ITEM-000056,ORD-00415,PROD-0005,3,49.98,0.0
ITEM-000057,ORD-00322,PROD-0021,3,35.0,10.0
ITEM-000058,ORD-00405,PROD-0018,3,12.5,15.0
ITEM-000059,ORD-00534,PROD-0029,2,38.0,20.0
ITEM-000060,ORD-00024,PROD-0009,3,199.98,15.0
ITEM-000061,ORD-00082,PROD-0014,1,85.0,0.0
ITEM-000062,ORD-00066,PROD-0031,1,28.0,20.0
ITEM-000063,ORD-00407,PROD-0006,5,59.98,0.0
ITEM-000064,ORD-00087,PROD-0025,2,250.0,15.0
ITEM-000065,ORD-00291,PROD-0029,2,38.0,10.0
ITEM-000066,ORD-00175,PROD-0002,3,89.98,20.0
ITEM-000067,ORD-00334,PROD-0031,5,28.0,0.0
ITEM-000068,ORD-00562,PROD-0029,5,38.0,0.0
ITEM-000069,ORD-00468,PROD-0028,5,45.0,0.0
ITEM-000070,ORD-00356,PROD-0031,1,28.0,5.0
ITEM-000071,ORD-00316,PROD-0024,2,130.0,0.0
ITEM-000072,ORD-00011,PROD-0001,2,799.98,0.0
ITEM-000073,ORD-00294,PROD-0031,4,28.0,20.0
ITEM-000074,ORD-00489,PROD-0020,-2,180.0,20.0
ITEM-000075,ORD-00300,PROD-0015,5,55.0,0.0
ITEM-000076,ORD-00194,PROD-0027,4,75.0,5.0
ITEM-000077,ORD-00256,PROD-0011,4,65.0,20.0
ITEM-000078,ORD-00388,PROD-0015,4,55.0,15.0
ITEM-000079,ORD-00246,PROD-0018,5,12.5,20.0
ITEM-000080,ORD-00276,PROD-0027,1,75.0,0.0
ITEM-000081,ORD-00140,PROD-0019,4,40.0,10.0
ITEM-000082,ORD-00464,PROD-0018,4,12.5,0.0
ITEM-000083,ORD-00329,PROD-0002,5,89.98,0.0
ITEM-000084,ORD-00191,PROD-0007,2,29.98,15.0
ITEM-000085,ORD-00449,PROD-0001,2,799.98,0.0
ITEM-000086,ORD-00506,PROD-0014,3,85.0,20.0
ITEM-000087,ORD-00511,PROD-0024,1,130.0,0.0
ITEM-000088,ORD-00083,PROD-0010,4,499.98,0.0
ITEM-000089,ORD-00557,PROD-0031,3,28.0,20.0
ITEM-000090,ORD-00391,PROD-0001,2,799.98,5.0
ITEM-000091,ORD-00454,PROD-0016,1,25.0,0.0
ITEM-000092,ORD-00472,PROD-0007,2,29.98,5.0
ITEM-000093,ORD-00399,PROD-0020,2,180.0,15.0
ITEM-000094,ORD-00044,PROD-0008,3,69.98,0.0
ITEM-000095,ORD-00370,PROD-0004,2,119.98,0.0
ITEM-000096,ORD-00242,PROD-0028,2,45.0,20.0
ITEM-000097,ORD-00283,PROD-0008,2,69.98,0.0
ITEM-000098,ORD-00044,PROD-0031,2,28.0,0.0
ITEM-000099,ORD-00092,PROD-0016,1,25.0,15.0
ITEM-000100,ORD-00347,PROD-0004,2,119.98,15.0
ITEM-000101,ORD-00550,PROD-0007,2,29.98,0.0
ITEM-000102,ORD-00572,PROD-0023,4,40.0,15.0
ITEM-000103,ORD-00198,PROD-0002,3,89.98,15.0
ITEM-000104,ORD-00138,PROD-0017,4,120.0,15.0
ITEM-000105,ORD-00449,PROD-0019,4,40.0,0.0
ITEM-000106,ORD-00581,PROD-0012,3,19.98,15.0
ITEM-000107,ORD-00480,PROD-0018,5,12.5,20.0
ITEM-000108,ORD-00568,PROD-0011,2,65.0,5.0
ITEM-000109,ORD-00303,PROD-0017,4,120.0,0.0
ITEM-000110,ORD-00519,PROD-0025,1,250.0,10.0
ITEM-000111,ORD-00373,PROD-0016,1,25.0,15.0
ITEM-000112,ORD-00552,PROD-0025,4,250.0,20.0
ITEM-000113,ORD-00565,PROD-0010,3,499.98,5.0
ITEM-000114,ORD-00330,PROD-0008,1,69.98,0.0
ITEM-000115,ORD-00133,PROD-0012,2,19.98,0.0
ITEM-000116,ORD-00498,PROD-0013,5,45.0,15.0
ITEM-000117,ORD-00398,PROD-0032,5,52.0,0.0
ITEM-000118,ORD-00051,PROD-0024,1,130.0,0.0
ITEM-000119,ORD-00214,PROD-0032,1,52.0,5.0
ITEM-000120,ORD-00063,PROD-0024,4,130.0,20.0
ITEM-000121,ORD-00378,PROD-0004,3,119.98,10.0
ITEM-000122,ORD-00042,PROD-0005,1,49.98,0.0
ITEM-000123,ORD-00532,PROD-0007,2,29.98,10.0
ITEM-000124,ORD-00395,PROD-0013,2,45.0,10.0
ITEM-000125,ORD-00184,PROD-0027,5,75.0,0.0
ITEM-000126,ORD-00470,PROD-0028,2,45.0,20.0
ITEM-000127,ORD-00185,PROD-0026,2,22.0,10.0
ITEM-000128,ORD-00454,PROD-0023,5,40.0,0.0
ITEM-000129,ORD-00381,PROD-0027,4,75.0,20.0
ITEM-000130,ORD-00332,PROD-0016,2,25.0,5.0
ITEM-000131,ORD-00564,PROD-0017,4,120.0,5.0
ITEM-000132,ORD-00407,PROD-0001,3,799.98,10.0
ITEM-000133,ORD-00017,PROD-0009,3,199.98,0.0
ITEM-000134,ORD-00308,PROD-0015,3,55.0,0.0
ITEM-000135,ORD-00283,PROD-0033,5,22.0,0.0
ITEM-000136,ORD-00097,PROD-0003,2,349.98,0.0
ITEM-000137,ORD-00272,PROD-0024,2,130.0,0.0
ITEM-000138,ORD-00263,PROD-0020,4,180.0,10.0
ITEM-000139,ORD-00223,PROD-0005,4,49.98,0.0
ITEM-000140,ORD-00500,PROD-0007,3,29.98,0.0
ITEM-000141,ORD-00591,PROD-0025,1,250.0,20.0
ITEM-000142,ORD-00343,PROD-0023,4,40.0,5.0
ITEM-000143,ORD-00124,PROD-0015,5,55.0,0.0
ITEM-000144,ORD-00392,PROD-0004,1,119.98,0.0
ITEM-000145,ORD-00553,PROD-0010,2,499.98,0.0
ITEM-000146,ORD-00052,PROD-0026,5,22.0,10.0
ITEM-000147,ORD-00517,PROD-0006,3,59.98,20.0
ITEM-000148,ORD-00404,PROD-0010,1,499.98,5.0
ITEM-000149,ORD-00586,PROD-0004,3,119.98,0.0
ITEM-000150,ORD-00409,PROD-0033,2,22.0,20.0
ITEM-000151,ORD-00139,PROD-0031,4,28.0,5.0
ITEM-000152,ORD-00586,PROD-0013,5,45.0,0.0
ITEM-000153,ORD-00249,PROD-0005,4,49.98,0.0
ITEM-000154,ORD-00590,PROD-0006,4,59.98,5.0
ITEM-000155,ORD-00375,PROD-0023,3,40.0,10.0
ITEM-000156,ORD-00025,PROD-0020,3,180.0,10.0
ITEM-000157,ORD-00453,PROD-0010,2,499.98,0.0
ITEM-000158,ORD-00383,PROD-0010,1,499.98,0.0
ITEM-000159,ORD-00056,PROD-0016,2,25.0,20.0
ITEM-000160,ORD-00295,PROD-0001,1,799.98,0.0
ITEM-000161,ORD-00461,PROD-0031,-1,28.0,15.0
ITEM-000162,ORD-00551,PROD-0014,5,85.0,20.0
ITEM-000163,ORD-00265,PROD-0031,2,28.0,15.0
ITEM-000164,ORD-00019,PROD-0025,5,250.0,0.0
ITEM-000165,ORD-00262,PROD-0011,2,65.0,20.0
ITEM-000166,ORD-00278,PROD-0004,1,119.98,0.0
ITEM-000167,ORD-00398,PROD-0018,3,12.5,20.0
ITEM-000168,ORD-00111,PROD-0002,4,89.98,0.0
ITEM-000169,ORD-00390,PROD-0033,1,22.0,0.0
ITEM-000170,ORD-00497,PROD-0006,5,59.98,5.0
ITEM-000171,ORD-00575,PROD-0002,5,89.98,0.0
ITEM-000172,ORD-00342,PROD-0032,2,52.0,0.0
ITEM-000173,ORD-00356,PROD-0023,3,40.0,0.0
ITEM-000174,ORD-00514,PROD-0018,3,12.5,5.0
ITEM-000175,ORD-00031,PROD-0018,3,12.5,5.0
ITEM-000176,ORD-00141,PROD-0006,5,59.98,15.0
ITEM-000177,ORD-00233,PROD-0027,2,75.0,5.0
ITEM-000178,ORD-00320,PROD-0022,2,12.0,0.0
ITEM-000179,ORD-00142,PROD-0013,3,45.0,15.0
ITEM-000180,ORD-00537,PROD-0009,2,199.98,15.0
ITEM-000181,ORD-00579,PROD-0011,5,65.0,10.0
ITEM-000182,ORD-00122,PROD-0012,2,19.98,15.0
ITEM-000183,ORD-00031,PROD-0021,4,35.0,5.0
ITEM-000184,ORD-00311,PROD-0029,3,38.0,0.0
ITEM-000185,ORD-00193,PROD-0007,1,29.98,20.0
ITEM-000186,ORD-00274,PROD-0015,2,55.0,15.0
ITEM-000187,ORD-00027,PROD-0023,4,40.0,0.0
ITEM-000188,ORD-00515,PROD-0031,3,28.0,0.0
ITEM-000189,ORD-00397,PROD-0032,2,52.0,0.0
ITEM-000190,ORD-00232,PROD-0003,1,349.98,0.0
ITEM-000191,ORD-00423,PROD-0015,2,55.0,20.0
ITEM-000192,ORD-00210,PROD-0005,4,49.98,20.0
ITEM-000193,ORD-00502,PROD-0021,2,35.0,5.0
ITEM-000194,ORD-00415,PROD-0003,4,349.98,15.0
ITEM-000195,ORD-00321,PROD-0026,5,22.0,10.0
ITEM-000196,ORD-00550,PROD-0003,4,349.98,5.0
ITEM-000197,ORD-00044,PROD-0016,4,25.0,15.0
ITEM-000198,ORD-00041,PROD-0025,1,250.0,0.0
ITEM-000199,ORD-00299,PROD-0029,3,38.0,20.0
ITEM-000200,ORD-00293,PROD-0030,3,32.0,10.0
ITEM-000201,ORD-00056,PROD-0010,4,499.98,0.0
ITEM-000202,ORD-00513,PROD-0008,5,69.98,15.0
ITEM-000203,ORD-00560,PROD-0009,3,199.98,5.0
ITEM-000204,ORD-00026,PROD-0012,2,19.98,5.0
ITEM-000205,ORD-00093,PROD-0017,2,120.0,15.0
ITEM-000206,ORD-00127,PROD-0006,4,59.98,15.0
ITEM-000207,ORD-00372,PROD-0006,4,59.98,15.0
ITEM-000208,ORD-00524,PROD-0011,4,65.0,0.0
ITEM-000209,ORD-00175,PROD-0022,2,12.0,0.0
ITEM-000210,ORD-00149,PROD-0012,1,19.98,5.0
ITEM-000211,ORD-00316,PROD-0020,4,180.0,0.0
ITEM-000212,ORD-00186,PROD-0008,2,69.98,0.0
ITEM-000213,ORD-00260,PROD-0001,4,799.98,10.0
ITEM-000214,ORD-00006,PROD-0032,5,52.0,15.0
ITEM-000215,ORD-00488,PROD-0030,1,32.0,10.0
ITEM-000216,ORD-00007,PROD-0016,3,25.0,10.0
ITEM-000217,ORD-00571,PROD-0014,2,85.0,0.0
ITEM-000218,ORD-00358,PROD-0003,1,349.98,15.0
ITEM-000219,ORD-00592,PROD-0020,1,180.0,0.0
ITEM-000220,ORD-00112,PROD-0027,2,75.0,15.0
ITEM-000221,ORD-00292,PROD-0012,5,19.98,0.0
ITEM-000222,ORD-00037,PROD-0006,3,59.98,0.0
ITEM-000223,ORD-00389,PROD-0005,5,49.98,0.0
ITEM-000224,ORD-00300,PROD-0031,3,28.0,0.0
ITEM-000225,ORD-00540,PROD-0027,2,75.0,10.0
ITEM-000226,ORD-00060,PROD-0007,5,29.98,0.0
ITEM-000227,ORD-00496,PROD-0019,3,40.0,0.0
ITEM-000228,ORD-00539,PROD-0023,5,40.0,10.0
ITEM-000229,ORD-00509,PROD-0032,2,52.0,10.0
ITEM-000230,ORD-00239,PROD-0019,1,40.0,0.0
ITEM-000231,ORD-00025,PROD-0030,1,32.0,15.0
ITEM-000232,ORD-00213,PROD-0027,3,75.0,0.0
ITEM-000233,ORD-00574,PROD-0014,-1,85.0,15.0
ITEM-000234,ORD-00289,PROD-0017,3,120.0,0.0
ITEM-000235,ORD-00519,PROD-0021,1,35.0,15.0
ITEM-000236,ORD-00342,PROD-0022,5,12.0,10.0
ITEM-000237,ORD-00030,PROD-0012,3,19.98,15.0
ITEM-000238,ORD-00491,PROD-0031,2,28.0,5.0
ITEM-000239,ORD-00160,PROD-0030,5,32.0,0.0
ITEM-000240,ORD-00474,PROD-0027,1,75.0,20.0
ITEM-000241,ORD-00534,PROD-0020,3,180.0,10.0
ITEM-000242,ORD-00549,PROD-0002,3,89.98,20.0
ITEM-000243,ORD-00363,PROD-0005,3,49.98,20.0
ITEM-000244,ORD-00032,PROD-0022,5,12.0,20.0
ITEM-000245,ORD-00170,PROD-0025,1,250.0,20.0
ITEM-000246,ORD-00316,PROD-0021,3,35.0,5.0
ITEM-000247,ORD-00089,PROD-0032,3,52.0,5.0
ITEM-000248,ORD-00310,PROD-0014,2,85.0,0.0
ITEM-000249,ORD-00384,PROD-0003,1,349.98,5.0
ITEM-000250,ORD-00519,PROD-0002,5,89.98,0.0
ITEM-000251,ORD-00195,PROD-0022,5,12.0,0.0
ITEM-000252,ORD-00336,PROD-0010,1,499.98,20.0
ITEM-000253,ORD-00529,PROD-0009,1,199.98,5.0
ITEM-000254,ORD-00397,PROD-0008,-1,69.98,15.0
ITEM-000255,ORD-00090,PROD-0022,1,12.0,0.0
ITEM-000256,ORD-00534,PROD-0020,-2,180.0,15.0
ITEM-000257,ORD-00215,PROD-0021,3,35.0,0.0
ITEM-000258,ORD-00546,PROD-0021,1,35.0,0.0
ITEM-000259,ORD-00153,PROD-0011,1,65.0,10.0
ITEM-000260,ORD-00574,PROD-0033,5,22.0,0.0
ITEM-000261,ORD-00563,PROD-0021,3,35.0,10.0
ITEM-000262,ORD-00251,PROD-0011,5,65.0,0.0
ITEM-000263,ORD-00554,PROD-0029,1,38.0,5.0
ITEM-000264,ORD-00052,PROD-0007,1,29.98,5.0
ITEM-000265,ORD-00402,PROD-0012,5,19.98,15.0
ITEM-000266,ORD-00457,PROD-0023,2,40.0,15.0
ITEM-000267,ORD-00547,PROD-0006,4,59.98,10.0
ITEM-000268,ORD-00135,PROD-0006,4,59.98,0.0
ITEM-000269,ORD-00467,PROD-0020,4,180.0,5.0
ITEM-000270,ORD-00238,PROD-0015,5,55.0,0.0
ITEM-000271,ORD-00373,PROD-0026,3,22.0,20.0
ITEM-000272,ORD-00333,PROD-0030,1,32.0,5.0
ITEM-000273,ORD-00116,PROD-0023,2,40.0,0.0
ITEM-000274,ORD-00357,PROD-0009,4,199.98,20.0
ITEM-000275,ORD-00110,PROD-0021,1,35.0,20.0
ITEM-000276,ORD-00310,PROD-0030,4,32.0,0.0
ITEM-000277,ORD-00250,PROD-0011,4,65.0,0.0
ITEM-000278,ORD-00349,PROD-0014,5,85.0,5.0
ITEM-000279,ORD-00446,PROD-0022,2,12.0,0.0
ITEM-000280,ORD-00080,PROD-0032,5,52.0,5.0
ITEM-000281,ORD-00334,PROD-0007,2,29.98,0.0
ITEM-000282,ORD-00416,PROD-0005,5,49.98,20.0
ITEM-000283,ORD-00389,PROD-0021,1,35.0,0.0
ITEM-000284,ORD-00223,PROD-0009,1,199.98,20.0
ITEM-000285,ORD-00151,PROD-0010,3,499.98,5.0
ITEM-000286,ORD-00592,PROD-0029,3,38.0,0.0
ITEM-000287,ORD-00584,PROD-0020,4,180.0,15.0
ITEM-000288,ORD-00353,PROD-0006,5,59.98,10.0
ITEM-000289,ORD-00414,PROD-0009,1,199.98,0.0
ITEM-000290,ORD-00563,PROD-0004,-3,119.98,20.0
ITEM-000291,ORD-00368,PROD-0008,1,69.98,0.0
ITEM-000292,ORD-00443,PROD-0026,4,22.0,5.0
ITEM-000293,ORD-00391,PROD-0028,2,45.0,5.0
ITEM-000294,ORD-00143,PROD-0013,3,45.0,20.0
ITEM-000295,ORD-00428,PROD-0010,2,499.98,0.0
ITEM-000296,ORD-00012,PROD-0005,2,49.98,15.0
ITEM-000297,ORD-00499,PROD-0028,2,45.0,0.0
ITEM-000298,ORD-00141,PROD-0027,5,75.0,5.0
ITEM-000299,ORD-00185,PROD-0030,5,32.0,20.0
ITEM-000300,ORD-00461,PROD-0025,2,250.0,5.0
ITEM-000301,ORD-00008,PROD-0032,2,52.0,15.0
ITEM-000302,ORD-00514,PROD-0018,5,12.5,10.0
ITEM-000303,ORD-00376,PROD-0003,5,349.98,5.0
ITEM-000304,ORD-00378,PROD-0008,1,69.98,0.0
ITEM-000305,ORD-00540,PROD-0018,1,12.5,10.0
ITEM-000306,ORD-00091,PROD-0016,1,25.0,15.0
ITEM-000307,ORD-00553,PROD-0020,3,180.0,10.0
ITEM-000308,ORD-00012,PROD-0031,4,28.0,10.0
ITEM-000309,ORD-00340,PROD-0027,3,75.0,0.0
ITEM-000310,ORD-00172,PROD-0003,5,349.98,15.0
ITEM-000311,ORD-00312,PROD-0017,4,120.0,10.0
ITEM-000312,ORD-00174,PROD-0004,3,119.98,20.0
ITEM-000313,ORD-00028,PROD-0019,2,40.0,10.0
ITEM-000314,ORD-00079,PROD-0018,5,12.5,0.0
ITEM-000315,ORD-00282,PROD-0017,-1,120.0,10.0
ITEM-000316,ORD-00179,PROD-0010,3,499.98,20.0
ITEM-000317,ORD-00180,PROD-0017,2,120.0,5.0
ITEM-000318,ORD-00186,PROD-0003,1,349.98,0.0
ITEM-000319,ORD-00158,PROD-0032,4,52.0,20.0
ITEM-000320,ORD-00393,PROD-0016,2,25.0,0.0
ITEM-000321,ORD-00592,PROD-0023,3,40.0,20.0
ITEM-000322,ORD-00119,PROD-0004,4,119.98,5.0
ITEM-000323,ORD-00309,PROD-0031,5,28.0,0.0
ITEM-000324,ORD-00389,PROD-0025,2,250.0,10.0
ITEM-000325,ORD-00446,PROD-0001,4,799.98,5.0
ITEM-000326,ORD-00324,PROD-0003,5,349.98,15.0
ITEM-000327,ORD-00363,PROD-0028,3,45.0,0.0
ITEM-000328,ORD-00277,PROD-0018,3,12.5,15.0
ITEM-000329,ORD-00599,PROD-0026,2,22.0,15.0
ITEM-000330,ORD-00200,PROD-0022,2,12.0,0.0
ITEM-000331,ORD-00561,PROD-0001,1,799.98,0.0
ITEM-000332,ORD-00422,PROD-0007,4,29.98,0.0
ITEM-000333,ORD-00225,PROD-0019,1,40.0,0.0
ITEM-000334,ORD-00095,PROD-0004,2,119.98,10.0
ITEM-000335,ORD-00125,PROD-0008,5,69.98,0.0
ITEM-000336,ORD-00385,PROD-0012,2,19.98,0.0
ITEM-000337,ORD-00302,PROD-0030,1,32.0,15.0
ITEM-000338,ORD-00465,PROD-0018,3,12.5,0.0
ITEM-000339,ORD-00166,PROD-0005,1,49.98,5.0
ITEM-000340,ORD-00398,PROD-0022,3,12.0,20.0
ITEM-000341,ORD-00272,PROD-0012,4,19.98,0.0
ITEM-000342,ORD-00403,PROD-0012,1,19.98,0.0
ITEM-000343,ORD-00554,PROD-0028,1,45.0,5.0
ITEM-000344,ORD-00266,PROD-0007,1,29.98,10.0
ITEM-000345,ORD-00257,PROD-0029,-2,38.0,0.0
ITEM-000346,ORD-00001,PROD-0003,3,349.98,0.0
ITEM-000347,ORD-00338,PROD-0026,5,22.0,15.0
ITEM-000348,ORD-00503,PROD-0031,1,28.0,10.0
ITEM-000349,ORD-00232,PROD-0001,4,799.98,0.0
ITEM-000350,ORD-00581,PROD-0023,3,40.0,5.0
ITEM-000351,ORD-00057,PROD-0006,3,59.98,0.0
ITEM-000352,ORD-00471,PROD-0019,2,40.0,10.0
ITEM-000353,ORD-00041,PROD-0025,3,250.0,15.0
ITEM-000354,ORD-00400,PROD-0007,3,29.98,5.0
ITEM-000355,ORD-00087,PROD-0029,2,38.0,0.0
ITEM-000356,ORD-00198,PROD-0002,5,89.98,0.0
ITEM-000357,ORD-00501,PROD-0025,5,250.0,15.0
ITEM-000358,ORD-00316,PROD-0032,4,52.0,0.0
ITEM-000359,ORD-00038,PROD-0022,1,12.0,5.0
ITEM-000360,ORD-00122,PROD-0014,5,85.0,5.0
ITEM-000361,ORD-00550,PROD-0010,2,499.98,0.0
ITEM-000362,ORD-00038,PROD-0010,1,499.98,5.0
ITEM-000363,ORD-00047,PROD-0016,2,25.0,0.0
ITEM-000364,ORD-00177,PROD-0004,1,119.98,5.0
ITEM-000365,ORD-00175,PROD-0005,1,49.98,0.0
ITEM-000366,ORD-00510,PROD-0015,2,55.0,5.0
ITEM-000367,ORD-00346,PROD-0026,5,22.0,10.0
ITEM-000368,ORD-00141,PROD-0021,2,35.0,20.0
ITEM-000369,ORD-00047,PROD-0012,1,19.98,0.0
ITEM-000370,ORD-00145,PROD-0027,3,75.0,10.0
ITEM-000371,ORD-00169,PROD-0029,5,38.0,0.0
ITEM-000372,ORD-00137,PROD-0007,5,29.98,5.0
ITEM-000373,ORD-00162,PROD-0002,1,89.98,0.0
ITEM-000374,ORD-00008,PROD-0012,5,19.98,0.0
ITEM-000375,ORD-00427,PROD-0031,2,28.0,0.0
ITEM-000376,ORD-00278,PROD-0029,2,38.0,10.0
ITEM-000377,ORD-00039,PROD-0012,5,19.98,0.0
ITEM-000378,ORD-00309,PROD-0023,5,40.0,0.0
ITEM-000379,ORD-00197,PROD-0008,1,69.98,10.0
ITEM-000380,ORD-00371,PROD-0033,2,22.0,0.0
ITEM-000381,ORD-00055,PROD-0013,2,45.0,15.0
ITEM-000382,ORD-00486,PROD-0032,1,52.0,0.0
ITEM-000383,ORD-00373,PROD-0019,3,40.0,0.0
ITEM-000384,ORD-00465,PROD-0003,1,349.98,10.0
ITEM-000385,ORD-00181,PROD-0011,4,65.0,10.0
ITEM-000386,ORD-00119,PROD-0005,4,49.98,10.0
ITEM-000387,ORD-00594,PROD-0021,3,35.0,0.0
ITEM-000388,ORD-00113,PROD-0021,2,35.0,15.0
ITEM-000389,ORD-00423,PROD-0013,2,45.0,0.0
ITEM-000390,ORD-00483,PROD-0032,4,52.0,0.0
ITEM-000391,ORD-00222,PROD-0030,3,32.0,0.0
ITEM-000392,ORD-00469,PROD-0013,3,45.0,0.0
ITEM-000393,ORD-00344,PROD-0009,5,199.98,0.0
ITEM-000394,ORD-00288,PROD-0009,4,199.98,5.0
ITEM-000395,ORD-00429,PROD-0011,2,65.0,0.0
ITEM-000396,ORD-00161,PROD-0011,5,65.0,20.0
ITEM-000397,ORD-00236,PROD-0006,5,59.98,5.0
ITEM-000398,ORD-00222,PROD-0031,3,28.0,0.0
ITEM-000399,ORD-00439,PROD-0016,4,25.0,10.0
ITEM-000400,ORD-00228,PROD-0010,1,499.98,5.0
ITEM-000401,ORD-00046,PROD-0003,5,349.98,0.0
ITEM-000402,ORD-00436,PROD-0026,1,22.0,5.0
ITEM-000403,ORD-00508,PROD-0016,1,25.0,15.0
ITEM-000404,ORD-00417,PROD-0014,3,85.0,0.0
ITEM-000405,ORD-00093,PROD-0002,3,89.98,0.0
ITEM-000406,ORD-00471,PROD-0002,4,89.98,20.0
ITEM-000407,ORD-00142,PROD-0026,3,22.0,15.0
ITEM-000408,ORD-00476,PROD-0001,1,799.98,5.0
ITEM-000409,ORD-00341,PROD-0003,3,349.98,15.0
ITEM-000410,ORD-00556,PROD-0014,1,85.0,10.0
ITEM-000411,ORD-00344,PROD-0004,3,119.98,0.0
ITEM-000412,ORD-00114,PROD-0025,5,250.0,0.0
ITEM-000413,ORD-00375,PROD-0024,5,130.0,15.0
ITEM-000414,ORD-00069,PROD-0014,3,85.0,0.0
ITEM-000415,ORD-00553,PROD-0008,5,69.98,20.0
ITEM-000416,ORD-00215,PROD-0015,3,55.0,10.0
ITEM-000417,ORD-00434,PROD-0018,3,12.5,0.0
ITEM-000418,ORD-00464,PROD-0032,1,52.0,5.0
ITEM-000419,ORD-00545,PROD-0019,3,40.0,20.0
ITEM-000420,ORD-00068,PROD-0013,4,45.0,0.0
ITEM-000421,ORD-00083,PROD-0026,3,22.0,0.0
ITEM-000422,ORD-00112,PROD-0011,2,65.0,5.0
ITEM-000423,ORD-00155,PROD-0014,1,85.0,0.0
ITEM-000424,ORD-00427,PROD-0009,4,199.98,5.0
ITEM-000425,ORD-00022,PROD-0019,1,40.0,20.0
ITEM-000426,ORD-00238,PROD-0022,3,12.0,15.0
ITEM-000427,ORD-00335,PROD-0032,5,52.0,20.0
ITEM-000428,ORD-00562,PROD-0029,5,38.0,0.0
ITEM-000429,ORD-00314,PROD-0011,2,65.0,5.0
ITEM-000430,ORD-00381,PROD-0019,1,40.0,0.0
ITEM-000431,ORD-00362,PROD-0019,2,40.0,10.0
ITEM-000432,ORD-00165,PROD-0019,2,40.0,20.0
ITEM-000433,ORD-00158,PROD-0011,1,65.0,0.0
ITEM-000434,ORD-00589,PROD-0009,3,199.98,0.0
ITEM-000435,ORD-00211,PROD-0003,3,349.98,0.0
