product_id,product_name,category,old_name,price,base_price,status,amount,region,priority,user_id
125,Phone,Furniture,Item_125,3554.85,3064,Pending,451,South,Low,U120
126,Printer,Electronics,Item_126,5736.03,4389,Cancelled,2241,East,Medium,U150
127,Watch,Furniture,Item_127,1955.49,1513,Cancelled,3782,West,Low,U090
128,Bag,Furniture,Item_128,4956.15,3958,Cancelled,3652,West,High,U152
129,Sofa,Electronics,Item_129,2867.81,2145,Cancelled,5076,East,Low,U193
130,Watch,Electronics,Item_130,957.89,752,Cancelled,2538,West,High,
131,Phone,Furniture,Item_131,4054.6,3492,Completed,9520,South,Low,U061
132,Bag,Furniture,Item_132,1479.31,1291,Cancelled,6989,North,Low,U023
133,Watch,Furniture,Item_133,178.72,132,Cancelled,5857,North,Medium,
134,Watch,Furniture,Item_134,6047.71,4889,Cancelled,9072,East,Medium,U155
135,Camera,Furniture,Item_135,6060.93,4661,Completed,493,North,Low,U041
136,Bag,Furniture,Item_136,1451.39,1267,Cancelled,7493,South,Medium,U005
137,Printer,Electronics,Item_137,1968.87,1785,Cancelled,9451,North,High,U027
138,Camera,Furniture,Item_138,3323.88,3140,Pending,4048,East,Low,U211
139,Desk,Electronics,Item_139,2436.55,2123,Pending,3706,West,Low,U230
140,Printer,Electronics,Item_140,1486.94,1064,Cancelled,6008,North,Medium,U095
141,Camera,Furniture,Item_141,3833.88,3486,Pending,7750,South,Low,U099
142,Phone,Furniture,Item_142,5381.6,4395,Completed,144,West,Medium,U134
143,Keyboard,Furniture,Item_143,927.88,765,Cancelled,6709,South,Medium,U214
144,Printer,Furniture,Item_144,1225.8,1142,Completed,9847,West,Low,U168
145,Shoes,Electronics,Item_145,2037.39,1478,Completed,3762,East,High,U233
146,Bag,Furniture,Item_146,1048.23,801,Completed,1221,South,Low,U157
147,Desk,Electronics,Item_147,3464.56,2777,Cancelled,2153,East,High,U243
148,Shoes,Furniture,Item_148,4195.24,3413,Cancelled,888,North,Low,U220
149,Watch,Electronics,Item_149,4550.75,3864,Pending,889,South,Low,U174
150,Monitor,Electronics,Item_150,497.88,395,Cancelled,3476,West,Medium,
151,Desk,Electronics,Item_151,1269.38,921,Pending,5928,North,Low,U018
152,Monitor,Electronics,Item_152,721.19,587,Cancelled,3442,West,Medium,U168
153,Shoes,Electronics,Item_153,712.11,535,Cancelled,8280,North,Low,
154,Headphones,Furniture,Item_154,1182.44,990,Cancelled,9599,West,Medium,U020
155,Phone,Furniture,Item_155,4238.85,3057,Completed,8218,North,Low,U150
156,Watch,Furniture,Item_156,2043.65,1558,Completed,4216,North,Low,U030
157,Monitor,Furniture,Item_157,3060.6,2699,Completed,9871,North,Low,U057
158,Phone,Furniture,Item_158,3096.58,2819,Pending,5096,North,Low,U135
159,Camera,Furniture,Item_159,2806.62,2060,Pending,5028,North,Low,U074
160,Headphones,Furniture,Item_160,1298.72,1209,Completed,2047,East,Medium,U165
161,Camera,Electronics,Item_161,4664.83,3392,Cancelled,1459,North,Low,U084
162,Book,Electronics,Item_162,6483.19,4819,Pending,7202,North,High,U024
163,Keyboard,Electronics,Item_163,223.33,182,Pending,9922,West,High,U177
164,Bag,Furniture,Item_164,5772.31,4534,Pending,1778,East,Low,U134
165,Phone,Electronics,Item_165,6545.17,4931,Cancelled,4292,South,High,U100
166,Monitor,Furniture,Item_166,5711.81,4355,Cancelled,7845,South,Medium,U027
167,Keyboard,Electronics,Item_167,620.18,460,Cancelled,7810,South,Medium,U235
168,Phone,Electronics,Item_168,4869.22,4332,Cancelled,8489,South,High,U227
169,Monitor,Electronics,Item_169,823.61,669,Completed,9760,West,Low,U158
170,Sofa,Electronics,Item_170,2589.22,1915,Completed,9688,East,Medium,U026
171,Sofa,Electronics,Item_171,983.45,787,Pending,974,South,High,U180
172,Desk,Electronics,Item_172,5150.9,4215,Completed,6498,East,High,U068
173,Camera,Furniture,Item_173,5130.49,3716,Pending,5043,South,Medium,U080
174,Monitor,Furniture,Item_174,613.09,482,Completed,5682,North,Medium,U246
175,Book,Electronics,Item_175,2010.27,1629,Pending,8043,West,Low,U004
176,Book,Furniture,Item_176,5409.71,3917,Pending,617,North,High,U150
177,Printer,Electronics,Item_177,3847.67,2835,Cancelled,6186,South,High,U213
178,Camera,Furniture,Item_178,4820.69,3691,Pending,4802,West,Medium,U230
179,Phone,Furniture,Item_179,906.77,763,Pending,2389,South,High,U147
180,Book,Furniture,Item_180,4209.68,3154,Completed,758,East,High,U210
181,Camera,Electronics,Item_181,3652.17,3384,Cancelled,5904,East,Medium,U237
182,Desk,Furniture,Item_182,4872.65,3859,Completed,9768,East,High,U166
183,Phone,Furniture,Item_183,3749.91,3460,Cancelled,690,South,Low,
184,Monitor,Electronics,Item_184,1652.84,1365,Cancelled,5008,North,Medium,U044
185,Bag,Furniture,Item_185,5602.91,4140,Cancelled,2272,North,High,U051
186,Keyboard,Electronics,Item_186,1986.65,1521,Pending,1509,North,Low,U227
187,Shoes,Electronics,Item_187,2538.28,2066,Cancelled,5079,North,High,U155
188,Desk,Electronics,Item_188,4347.53,4023,Completed,4056,South,Medium,U156
189,Sofa,Furniture,Item_189,1723.35,1314,Pending,3246,East,High,U232
190,Book,Furniture,Item_190,3035.28,2473,Pending,9291,South,Low,U187
191,Phone,Furniture,Item_191,2778.28,2107,Cancelled,5595,West,High,U168
192,Printer,Furniture,Item_192,711.93,600,Completed,4757,North,Low,U123
193,Watch,Electronics,Item_193,2811.01,2505,Pending,2030,West,Low,U152
194,Bag,Furniture,Item_194,4590.9,3887,Cancelled,1530,East,Low,U125
195,Monitor,Electronics,Item_195,3280.94,2597,Cancelled,5551,East,High,U111
196,Camera,Furniture,Item_196,2637.73,2117,Pending,5963,East,High,U123
197,Desk,Furniture,Item_197,1914.01,1621,Cancelled,1446,South,High,U088
198,Printer,Furniture,Item_198,794.36,679,Pending,844,East,Medium,U080
199,Keyboard,Furniture,Item_199,3171.79,2473,Completed,9054,East,Medium,U047
200,Printer,Electronics,Item_200,4554.58,4267,Completed,9884,South,Medium,U221
201,Printer,Electronics,Item_201,6133.09,4594,Pending,7565,West,Medium,U181
202,Keyboard,Furniture,Item_202,4716.61,3822,Cancelled,2263,North,Medium,U104
203,Monitor,Electronics,Item_203,2840.39,2627,Cancelled,6458,East,Medium,U196
204,Shoes,Electronics,Item_204,505.04,364,Completed,7795,North,Medium,U007
205,Camera,Electronics,Item_205,4717.65,3498,Pending,7621,West,Low,U152
206,Camera,Furniture,Item_206,718.01,599,Pending,6310,West,Low,U065
207,Sofa,Electronics,Item_207,5767.36,4424,Completed,758,South,High,U184
208,Watch,Furniture,Item_208,3133.22,2449,Completed,4897,South,Low,U096
209,Keyboard,Furniture,Item_209,510.98,467,Pending,2463,North,Low,U225
210,Watch,Furniture,Item_210,4381.73,3263,Pending,9796,West,High,U168
211,Keyboard,Electronics,Item_211,1609.99,1393,Completed,707,East,Low,U145
212,Printer,Furniture,Item_212,610.5,499,Completed,168,East,High,U197
213,Book,Electronics,Item_213,2124.64,1813,Cancelled,462,South,High,U247
214,Printer,Electronics,Item_214,4996.4,3699,Completed,9355,South,Low,U142
215,Desk,Electronics,Item_215,4652.03,3432,Completed,9474,East,High,U050
216,Keyboard,Electronics,Item_216,2899.18,2228,Cancelled,3289,South,High,U027
217,Watch,Furniture,Item_217,242.77,196,Completed,5788,North,Medium,U038
218,Keyboard,Furniture,Item_218,4952.91,3972,Pending,8530,South,Low,U189
219,Camera,Electronics,Item_219,4079.59,3491,Cancelled,3336,West,Low,U227
220,Phone,Furniture,Item_220,2554.13,1840,Completed,8436,East,Medium,U181
221,Shoes,Furniture,Item_221,231.1,171,Cancelled,7208,South,High,U057
222,Printer,Electronics,Item_222,5257.89,4522,Pending,3013,East,High,U114
223,Bag,Furniture,Item_223,4921.85,3551,Pending,4223,South,Medium,U092
224,Monitor,Electronics,Item_224,3892.32,3199,Completed,2524,South,High,U036
225,Phone,Electronics,Item_225,401.07,292,Pending,9751,North,High,U198
226,Camera,Electronics,Item_226,5948.26,4473,Pending,6970,West,Low,U210
227,Watch,Electronics,Item_227,317.72,235,Cancelled,1580,North,High,U229
228,Camera,Electronics,Item_228,1522.42,1221,Cancelled,1334,West,High,U011
229,Printer,Electronics,Item_229,4525.83,4137,Completed,5992,South,Low,U071
230,Watch,Electronics,Item_230,5795.38,4612,Pending,3956,North,High,U089
231,Shoes,Electronics,Item_231,5454.5,4726,Pending,3584,South,Medium,U159
232,Monitor,Furniture,Item_232,3523.82,2895,Pending,5659,West,High,U050
233,Desk,Furniture,Item_233,5526.88,4029,Pending,6407,South,Low,U138
234,Sofa,Furniture,Item_234,3863.16,3642,Completed,3317,East,Medium,U044
235,Camera,Electronics,Item_235,276.81,233,Completed,3325,West,High,U171
236,Monitor,Electronics,Item_236,907.27,691,Cancelled,7761,North,Medium,U239
237,Shoes,Electronics,Item_237,1104.37,887,Completed,7741,North,High,U194
238,Shoes,Furniture,Item_238,4956.14,3971,Completed,8433,South,Medium,U163
239,Phone,Electronics,Item_239,2611.27,2096,Completed,5059,West,Medium,U183
240,Watch,Electronics,Item_240,6105.27,4413,Completed,1122,West,High,U232
241,Headphones,Furniture,Item_241,4561.18,3986,Pending,8794,East,Low,U015
242,Sofa,Furniture,Item_242,3572.94,2634,Pending,6732,North,Medium,U092
243,Watch,Furniture,Item_243,2351.13,2031,Cancelled,1992,West,Low,U133
244,Phone,Electronics,Item_244,3225.95,3027,Cancelled,6592,East,Low,U079
245,Book,Furniture,Item_245,5791.19,4757,Completed,9472,West,Low,U087
246,Phone,Furniture,Item_246,645.37,492,Completed,4161,North,Low,U246
247,Monitor,Furniture,Item_247,4215.26,3315,Pending,2703,South,Low,U047
248,Keyboard,Furniture,Item_248,1940.52,1456,Pending,9928,North,High,U064
249,Headphones,Electronics,Item_249,3848.62,3333,Completed,4258,East,High,U094
250,Monitor,Electronics,Item_250,808.88,669,Cancelled,8935,West,Low,U061
251,Shoes,Furniture,Item_251,4295.73,3335,Pending,5725,East,Medium,U241
252,Shoes,Furniture,Item_252,5085.71,3896,Cancelled,7354,North,High,U243
253,Headphones,Furniture,Item_253,4064.86,2952,Pending,4147,North,Low,U104
254,Sofa,Electronics,Item_254,716.75,671,Pending,8990,North,Low,U035
255,Printer,Electronics,Item_255,5287.47,4989,Completed,2746,South,High,U010
256,Monitor,Furniture,Item_256,5424.75,4762,Completed,2123,East,Low,U199
257,Printer,Furniture,Item_257,1204.81,973,Cancelled,8043,North,High,U019
258,Sofa,Furniture,Item_258,1214.24,1049,Pending,8518,West,High,U224
259,Desk,Electronics,Item_259,4410.35,3971,Cancelled,140,South,Low,U238
260,Sofa,Furniture,Item_260,789.36,566,Pending,597,South,Low,U052
261,Sofa,Furniture,Item_261,3156.52,2779,Cancelled,9740,North,Medium,U191
262,Phone,Furniture,Item_262,5402.05,4084,Cancelled,5720,South,Low,U025
263,Shoes,Furniture,Item_263,5080.06,3995,Completed,1539,West,Low,U183
264,Desk,Electronics,Item_264,2721.58,2478,Completed,3083,West,Low,U231
265,Sofa,Electronics,Item_265,1032.83,919,Pending,9195,West,High,U029
266,Headphones,Furniture,Item_266,2680.01,2255,Pending,5465,North,Low,U067
267,Shoes,Electronics,Item_267,5456.28,4667,Cancelled,9361,West,High,U105
268,Camera,Furniture,Item_268,2796.18,2089,Cancelled,6512,North,Medium,U112
269,Bag,Furniture,Item_269,2697.57,1928,Pending,8483,West,High,U003
270,Desk,Electronics,Item_270,3497.91,2955,Completed,9104,West,Low,U192
271,Keyboard,Furniture,Item_271,1150.38,879,Cancelled,5849,South,Medium,U125
272,Keyboard,Furniture,Item_272,386.71,307,Completed,804,East,Low,U122
273,Keyboard,Electronics,Item_273,2509.47,2245,Completed,590,South,Low,
274,Headphones,Electronics,Item_274,3406.16,3204,Pending,6310,West,High,U011
275,Phone,Electronics,Item_275,3255.27,2931,Cancelled,6812,East,Medium,U190
276,Headphones,Electronics,Item_276,4841.05,3594,Pending,1042,West,High,U092
277,Watch,Furniture,Item_277,3569.22,2909,Pending,8172,West,High,U240
278,Headphones,Furniture,Item_278,863.63,803,Completed,2700,North,Low,U250
279,Desk,Furniture,Item_279,5604.41,4102,Pending,6341,North,High,U216
280,Printer,Electronics,Item_280,5179.28,4699,Cancelled,1269,South,High,U228
281,Keyboard,Electronics,Item_281,4260.45,3465,Completed,624,West,High,U147
282,Keyboard,Furniture,Item_282,2555.69,2125,Pending,6909,West,High,U198
283,Printer,Furniture,Item_283,2146.5,1772,Cancelled,5188,South,Medium,U132
284,Keyboard,Electronics,Item_284,4688.48,4151,Pending,1825,East,High,U159
285,Watch,Furniture,Item_285,3333.8,2493,Cancelled,5271,West,Medium,U208
286,Watch,Electronics,Item_286,2277.04,2025,Pending,6488,East,Low,U131
287,Shoes,Furniture,Item_287,2991.74,2575,Pending,4485,South,Medium,U086
288,Phone,Electronics,Item_288,5294.78,4615,Cancelled,9928,North,High,U195
289,Book,Furniture,Item_289,3489.64,3290,Cancelled,4338,East,Medium,U022
290,Headphones,Furniture,Item_290,2769.29,2151,Completed,2728,North,High,U027
291,Monitor,Furniture,Item_291,3792.86,3468,Completed,4766,West,High,U171
292,Camera,Electronics,Item_292,5679.92,4789,Completed,632,East,Low,U053
293,Headphones,Furniture,Item_293,3296.71,2634,Cancelled,1802,North,Medium,U076
294,Monitor,Electronics,Item_294,716.96,561,Completed,4976,South,High,U063
295,Watch,Furniture,Item_295,908.81,754,Cancelled,257,South,High,U169
296,Phone,Electronics,Item_296,4374.9,3774,Pending,3039,South,Low,U136
297,Watch,Furniture,Item_297,3740.55,3543,Cancelled,7225,East,High,U153
298,Book,Electronics,Item_298,2288.6,2065,Cancelled,3235,East,High,U134
299,Headphones,Electronics,Item_299,721.97,567,Pending,5230,North,Low,U046
300,Sofa,Electronics,Item_300,2913.55,2710,Cancelled,2072,South,High,U140
